group,SamAccountName
Administrators,Administrator
Administrators,Domain Admins
Administrators,Enterprise Admins
Administrators,SV-IPAM01$
Domain Admins,admin-bdo
Domain Admins,admin-eme
Domain Admins,admin-hpe
Domain Admins,Administrator
Domain Admins,admin-jns
Domain Admins,admin-mka
Domain Admins,admin-mmo
Domain Admins,admin-mso
Domain Admins,admin-pge
Domain Admins,admin-rju
Domain Admins,admin-rve
Domain Admins,admin-sps
Domain Admins,admin-tcl
Domain Admins,admin-wne
Domain Admins,admin-cve
Domain Admins,exact
Domain Admins,svc-backup
Domain Admins,svc-deploy
Domain Admins,svc-hpdevmg
Domain Admins,svc-hpsim
Domain Admins,svc-ldap
Domain Admins,svc-powersh
Domain Admins,svc-prtg
Domain Admins,svc-pvs
Domain Admins,svc-ssrpm
Domain Admins,svc-vcenter
Domain Admins,svc-wds
Domain Admins,svc-tasksched
Domain Admins,svc-netwrixale
Enterprise Admins,Administrator
Enterprise Admins,admin-rju
Enterprise Admins,admin-rve
Enterprise Admins,admin-tcl
Enterprise Admins,admin-eme
Enterprise Admins,svc-backup
AF-Domain admin service accounts,svc-hpdevmg
AF-Domain admin service accounts,svc-hpsim
AF-Domain admin service accounts,svc-ldap
AF-Domain admin service accounts,svc-pvs
AF-Domain admin service accounts,svc-vcenter
AF-Domain admin service accounts,svc-wds
AF-Domain admin service accounts,svc-tasksched
AF-Domain admin service accounts,svc-netwrixale
AF-DownloadAll,admin-bdo
AF-DownloadAll,admin-eme
AF-DownloadAll,admin-hp
AF-DownloadAll,admin-hpe
AF-DownloadAll,admin-jns
AF-DownloadAll,admin-jst
AF-DownloadAll,admin-mka
AF-DownloadAll,admin-mmo
AF-DownloadAll,admin-mso
AF-DownloadAll,admin-pge
AF-DownloadAll,admin-rju
AF-DownloadAll,admin-rve
AF-DownloadAll,admin-sps
AF-DownloadAll,admin-tcl
AF-DownloadAll,admin-wne
AF-DownloadAll,AF-Systeembeheer
AF-DownloadAll,admin-cve
AF-DownloadAll,inbellen
AF-DownloadAll,svc-deploy
AF-DownloadAll,svc-eset
AF-DownloadAll,svc-gallery
AF-DownloadAll,svc-linuxproxy
AF-DownloadApplicatiebeheerders,awondergem
AF-DownloadApplicatiebeheerders,avanoeveren
AF-DownloadApplicatiebeheerders,Functie_Applicatiebeheerder
AF-DownloadApplicatiebeheerders,kvaak
AF-DownloadApplicatiebeheerders,mdebree
AF-FILESERVERS-FullC,AF-IntakePlus
AF-FILESERVERS-FullC,AF-Systeembeheer
AF-FILESERVERS-FullC,dmp_ftp
AF-FILESERVERS-FullC,docmanmgr
AF-FILESERVERS-FullC,svc-autostore
AF-FILESERVERS-FullC,svc-bagsql
AF-FILESERVERS-FullC,svc-coda
AF-FILESERVERS-FullC,svc-cognos
AF-FILESERVERS-FullC,svc-drive
AF-FILESERVERS-FullC,svc-interflex
AF-FILESERVERS-FullC,svc-kofax1
AF-FILESERVERS-FullC,svc-kofax2
AF-FILESERVERS-FullC,svc-mdu
AF-FILESERVERS-FullC,svc-prevent
AF-FILESERVERS-FullC,svc-searchadmin
AF-FILESERVERS-FullC,svc-ssocoda
AF-FILESERVERS-FullC,svc-xentialmdb
AF-FILESERVERS-ReadO,AF-Helpdesk
AF-FILESERVERS-ReadO,sv-search
AF-FILESERVERS-ReadO,svc-mylex
AF-Helpdesk,AF-Intake
AF-Helpdesk,AF-IntakePlus
AF-Intake,kvandenberge
AF-Intake,mfrancke
AF-Intake,iwielemaker
AF-IntakePlus,cniemans
AF-IntakePlus,mcontant
AF-IntakePlus,mgeelhoed
AF-IntakePlus,mjansen
AF-Systeembeheer,bdorreman
AF-Systeembeheer,emeijer
AF-Systeembeheer,jnienhuis
AF-Systeembeheer,msorgedrager
AF-Systeembeheer,mmol
AF-Systeembeheer,pgeluk
AF-Systeembeheer,rjurcka
AF-Systeembeheer,rverburgt
AF-Systeembeheer,tdecloet
AF-Systeembeheer,wneufeglise
AF-Token Authenticatie Extern - Uit,<leeg>
AF-Token Authenticatie Intern - Uit,admin-hpe
AF-Token Authenticatie Intern - Uit,admin-mka
